AnnotatorID,NumTweetsAnnotated,NumAnnotations,HateSpeech_Count,Offensive_Count,Neutral_Count,Ethnicity,Age,Education,Party,EnglishFirst
402,50,50,14,14,22,White,52.0,3.0,3.0,1.0
403,50,50,4,21,25,White,31.0,4.0,2.0,1.0
404,50,50,6,1,43,White,26.0,4.0,2.0,1.0
405,50,50,12,25,13,White,34.0,5.0,3.0,1.0
406,50,50,21,9,20,White,49.0,3.0,2.0,1.0
407,50,50,5,23,22,White,42.0,5.0,3.0,2.0
408,50,50,13,21,16,White,59.0,2.0,2.0,1.0
409,50,50,14,15,21,White,45.0,4.0,2.0,1.0
410,50,50,9,19,22,White,45.0,3.0,2.0,1.0
411,50,50,14,17,19,White,36.0,4.0,2.0,1.0
412,50,50,9,19,22,White,32.0,3.0,3.0,1.0
413,50,50,10,21,19,Asian,43.0,4.0,3.0,1.0
414,50,50,12,16,22,Afr american,27.0,2.0,1.0,1.0
415,50,50,6,23,21,White,30.0,4.0,2.0,1.0
416,50,50,17,15,18,White,37.0,4.0,2.0,1.0
418,50,50,5,21,24,Asian,19.0,3.0,2.0,1.0
419,50,50,16,21,13,White,31.0,4.0,1.0,1.0
420,50,50,8,28,14,White,65.0,4.0,,1.0
421,50,50,5,13,32,White,26.0,4.0,2.0,1.0
422,50,50,22,13,15,White,41.0,5.0,2.0,1.0
423,50,50,7,15,28,Afr american,49.0,3.0,3.0,1.0
424,50,50,10,14,26,White,64.0,4.0,3.0,1.0
425,50,50,19,19,12,Hispanic,28.0,2.0,2.0,1.0
426,50,50,9,21,20,White,30.0,4.0,1.0,1.0
427,50,50,17,9,24,White,23.0,2.0,3.0,1.0
428,50,50,7,12,31,White,32.0,5.0,3.0,1.0
429,50,50,10,21,19,White,28.0,4.0,1.0,1.0
430,50,50,7,21,22,White,32.0,4.0,1.0,1.0
431,50,50,14,21,15,White,60.0,4.0,2.0,1.0
432,50,50,20,12,18,White,36.0,3.0,3.0,1.0
433,50,50,13,17,20,White,36.0,2.0,2.0,1.0
434,50,50,11,25,14,Asian,34.0,5.0,3.0,2.0
435,50,50,27,19,4,Afr american,33.0,5.0,1.0,1.0
436,50,50,15,22,13,White,51.0,6.0,2.0,1.0
437,50,50,7,25,18,White,48.0,4.0,1.0,1.0
438,50,50,12,24,14,White,28.0,1.0,2.0,1.0
439,50,50,6,20,24,White,59.0,3.0,3.0,1.0
440,50,50,16,12,22,White,35.0,1.0,3.0,1.0
441,50,50,8,24,18,White,37.0,2.0,3.0,1.0
442,50,50,13,16,21,White,37.0,3.0,3.0,1.0
443,50,50,12,22,16,White,20.0,2.0,3.0,1.0
444,50,50,19,19,12,White,75.0,3.0,3.0,1.0
445,50,50,7,15,28,White,,,,
446,5,5,2,2,1,Prefer not to say,,,,
447,50,50,11,22,17,White,41.0,3.0,2.0,1.0
448,50,50,16,16,18,White,38.0,4.0,3.0,1.0
449,50,50,11,25,14,White,42.0,4.0,3.0,1.0
450,50,50,8,14,28,White,29.0,4.0,2.0,1.0
451,50,50,7,8,35,White,49.0,2.0,1.0,1.0
452,50,50,16,17,17,White,34.0,3.0,2.0,1.0
453,50,50,12,20,18,Hispanic,32.0,4.0,3.0,2.0
454,50,50,11,23,16,White,40.0,2.0,3.0,1.0
455,50,50,7,11,32,White,44.0,2.0,2.0,1.0
